10,1,1,2511561
10,1,2,2366796
10,1,3,2371262
10,1,4,2425271
10,1,5,2371261
10,1,6,2517998
10,1,7,2425149
10,1,8,2529931
10,1,9,2352749
10,1,10,2361466
10,1,11,2534748
10,1,12,2320882
10,1,13,2388945
10,1,14,2338186
10,1,15,2349352
10,1,16,2512058
10,1,17,2540268
10,1,18,2374593
10,1,19,2335459
10,1,20,2523763
10,1,21,2339048
10,1,22,2549955
10,1,23,2507672
10,1,24,2537461
10,1,25,2343748
10,1,26,2326351
10,1,27,2334774
10,1,28,2511470
10,1,29,2331974
10,1,30,2517654
10,1,31,2354532
10,1,32,2345593
10,1,33,2347151
10,1,34,2513619
10,1,35,2359820
10,1,36,2546258
10,1,37,2357924
10,1,38,2388877
10,1,39,2554001
10,1,40,2320988
10,1,41,2336218
10,1,42,2542751
10,1,43,2549956
10,1,44,2537463
10,1,45,2544949
10,1,46,2312253
10,1,47,2335458
10,1,48,2537575
10,1,49,2378354
10,1,50,2508682
10,2,1,2549955
10,2,2,2554001
10,2,3,2540268
10,2,4,2549956
10,2,5,2544949
10,2,6,2529931
10,2,7,2546258
10,2,8,2534748
10,2,9,2566853
10,2,10,2511561
10,2,11,2371261
10,2,12,2537464
10,2,13,2572678
10,2,14,2558735
10,2,15,2566835
10,2,16,2371262
10,2,17,2366796
10,2,18,2542751
10,2,19,2542748
10,2,20,2537461
10,2,21,2320882
10,2,22,2425271
10,2,23,2425149
10,2,24,2558729
10,2,25,2517998
10,2,26,2579459
10,2,27,2552034
10,2,28,2549957
10,2,29,2352749
10,2,30,2512058
10,2,31,2335459
10,2,32,2388949
10,2,33,2349352
10,2,34,2338186
10,2,35,2549958
10,2,36,2507672
10,2,37,2555764
10,2,38,2361466
10,2,39,2343748
10,2,40,2326351
10,2,41,2537463
10,2,42,2537575
10,2,43,2558448
10,2,44,2575585
10,2,45,2388945
10,2,46,2572448
10,2,47,2569048
10,2,48,2584058
10,2,49,2573848
10,2,50,2565275
10,3,1,2587788
10,3,2,2579459
10,3,3,2596161
10,3,4,2554001
10,3,5,2544949
10,3,6,2549955
10,3,7,2593649
10,3,8,2593618
10,3,9,2596063
10,3,10,2566853
10,3,11,2546258
10,3,12,2540268
10,3,13,2566835
10,3,14,2584058
10,3,15,2590566
10,3,16,2601592
10,3,17,2549956
10,3,18,2572678
10,3,19,2611648
10,3,20,2537464
10,3,21,2565275
10,3,22,2529931
10,3,23,2609744
10,3,24,2601848
10,3,25,2534748
10,3,26,2585956
10,3,27,2600849
